,distrito,date,valor,year
440,moncloa,01/01/2020,28054,2020
441,moncloa,01/01/2021,28526,2021
442,moncloa,01/01/2022,28998,2022
443,moncloa,01/01/2023,29470,2023
444,moratalaz,01/01/2020,23133,2020
445,moratalaz,01/01/2021,23543,2021
446,moratalaz,01/01/2022,23954,2022
447,moratalaz,01/01/2023,24364,2023
448,puente_vallecas,01/01/2020,17486,2020
449,puente_vallecas,01/01/2021,17719,2021
450,puente_vallecas,01/01/2022,17952,2022
451,puente_vallecas,01/01/2023,18185,2023
452,retiro,01/01/2020,30132,2020
453,retiro,01/01/2021,30687,2021
454,retiro,01/01/2022,31242,2022
455,retiro,01/01/2023,31798,2023
456,salamanca,01/01/2020,30148,2020
457,salamanca,01/01/2021,30659,2021
458,salamanca,01/01/2022,31170,2022
459,salamanca,01/01/2023,31681,2023
460,san_blas,01/01/2020,21369,2020
461,san_blas,01/01/2021,21691,2021
462,san_blas,01/01/2022,22013,2022
463,san_blas,01/01/2023,22334,2023
464,tetuan,01/01/2020,22914,2020
465,tetuan,01/01/2021,23249,2021
466,tetuan,01/01/2022,23583,2022
467,tetuan,01/01/2023,23917,2023
468,usera,01/01/2020,17675,2020
469,usera,01/01/2021,17897,2021
470,usera,01/01/2022,18118,2022
471,usera,01/01/2023,18340,2023
472,vicalvaro,01/01/2020,20940,2020
473,vicalvaro,01/01/2021,21304,2021
474,vicalvaro,01/01/2022,21668,2022
475,vicalvaro,01/01/2023,22032,2023
476,villa_vallecas,01/01/2020,21642,2020
477,villa_vallecas,01/01/2021,22048,2021
478,villa_vallecas,01/01/2022,22454,2022
479,villa_vallecas,01/01/2023,22859,2023
480,villaverde,01/01/2020,17715,2020
481,villaverde,01/01/2021,17943,2021
482,villaverde,01/01/2022,18172,2022
483,villaverde,01/01/2023,18401,2023
