distrito,nacionales,extranjeros,total,date,month,year
puente_vallecas,194457,33036,227493.0,2014-09-01,9,2014
retiro,110434,7949,118383.0,2014-09-01,9,2014
salamanca,126931,15818,142749.0,2014-09-01,9,2014
san_blas,137819,15209,153028.0,2014-09-01,9,2014
tetuan,125644,25989,151633.0,2014-09-01,9,2014
usera,109045,24136,133181.0,2014-09-01,9,2014
vicalvaro,61583,8076,69659.0,2014-09-01,9,2014
villaverde,118206,23566,141772.0,2014-09-01,9,2014
villa_vallecas,88337,11097,99434.0,2014-09-01,9,2014
madrid,2767619,387916,3155535.0,2014-09-01,9,2014
arganzuela,136074,15016,151090.0,2014-10-01,10,2014
barajas,41705,4179,45884.0,2014-10-01,10,2014
carabanchel,203303,38927,242230.0,2014-10-01,10,2014
centro,104068,28280,132348.0,2014-10-01,10,2014
chamartin,129480,12568,142048.0,2014-10-01,10,2014
chamberi,123365,14744,138109.0,2014-10-01,10,2014
ciudad_lineal,187278,26249,213527.0,2014-10-01,10,2014
fuencarral,216509,17365,233874.0,2014-10-01,10,2014
hortaleza,159298,15416,174714.0,2014-10-01,10,2014
latina,204152,31997,236149.0,2014-10-01,10,2014
moncloa,104740,11635,116375.0,2014-10-01,10,2014
moratalaz,88106,7476,95582.0,2014-10-01,10,2014
puente_vallecas,194884,33216,228100.0,2014-10-01,10,2014
retiro,110560,7988,118548.0,2014-10-01,10,2014
salamanca,127153,16045,143198.0,2014-10-01,10,2014
san_blas,138031,15366,153397.0,2014-10-01,10,2014
tetuan,125887,25947,151834.0,2014-10-01,10,2014
usera,109276,24246,133522.0,2014-10-01,10,2014
vicalvaro,61659,8081,69740.0,2014-10-01,10,2014
villaverde,118485,23614,142099.0,2014-10-01,10,2014
villa_vallecas,88555,11122,99677.0,2014-10-01,10,2014
madrid,2772568,389477,3162045.0,2014-10-01,10,2014
arganzuela,136006,15005,151011.0,2014-11-01,11,2014
barajas,41730,4122,45852.0,2014-11-01,11,2014
carabanchel,202978,38614,241592.0,2014-11-01,11,2014
centro,103932,28468,132400.0,2014-11-01,11,2014
chamartin,129459,12668,142127.0,2014-11-01,11,2014
chamberi,123274,15064,138338.0,2014-11-01,11,2014
ciudad_lineal,186963,26166,213129.0,2014-11-01,11,2014
fuencarral,216550,17355,233905.0,2014-11-01,11,2014
hortaleza,159446,15379,174825.0,2014-11-01,11,2014
latina,203793,31891,235684.0,2014-11-01,11,2014
moncloa,104752,11820,116572.0,2014-11-01,11,2014
moratalaz,87925,7411,95336.0,2014-11-01,11,2014
puente_vallecas,194621,33079,227700.0,2014-11-01,11,2014
retiro,110475,8024,118499.0,2014-11-01,11,2014
salamanca,127100,16361,143461.0,2014-11-01,11,2014
san_blas,137912,15321,153233.0,2014-11-01,11,2014
tetuan,125868,25947,151815.0,2014-11-01,11,2014
usera,109258,24168,133426.0,2014-11-01,11,2014
vicalvaro,61670,7971,69641.0,2014-11-01,11,2014
villaverde,118350,23434,141784.0,2014-11-01,11,2014
villa_vallecas,88624,11050,99674.0,2014-11-01,11,2014
madrid,2770686,389318,3160004.0,2014-11-01,11,2014
arganzuela,136196,15053,151249.0,2014-12-01,12,2014
barajas,41822,4130,45952.0,2014-12-01,12,2014
carabanchel,203273,38769,242042.0,2014-12-01,12,2014
centro,104157,28742,132899.0,2014-12-01,12,2014
chamartin,129492,12744,142236.0,2014-12-01,12,2014
chamberi,123429,15135,138564.0,2014-12-01,12,2014
ciudad_lineal,187037,26308,213345.0,2014-12-01,12,2014
fuencarral,216836,17312,234148.0,2014-12-01,12,2014
hortaleza,159762,15479,175241.0,2014-12-01,12,2014
latina,203927,32008,235935.0,2014-12-01,12,2014
moncloa,104932,11904,116836.0,2014-12-01,12,2014
moratalaz,87897,7450,95347.0,2014-12-01,12,2014
puente_vallecas,194676,33165,227841.0,2014-12-01,12,2014
retiro,110590,8075,118665.0,2014-12-01,12,2014
salamanca,127198,16570,143768.0,2014-12-01,12,2014
san_blas,138020,15374,153394.0,2014-12-01,12,2014
tetuan,126188,26048,152236.0,2014-12-01,12,2014
usera,109405,24221,133626.0,2014-12-01,12,2014
vicalvaro,61729,7965,69694.0,2014-12-01,12,2014
villaverde,118361,23410,141771.0,2014-12-01,12,2014
villa_vallecas,88826,11087,99913.0,2014-12-01,12,2014
madrid,2773753,390949,3164702.0,2014-12-01,12,2014
arganzuela,135820,14647,150467.0,2015-01-01,1,2015
barajas,41768,4044,45812.0,2015-01-01,1,2015
carabanchel,202743,38110,240853.0,2015-01-01,1,2015
centro,103593,27975,131568.0,2015-01-01,1,2015
chamartin,129287,12451,141738.0,2015-01-01,1,2015
chamberi,123076,14691,137767.0,2015-01-01,1,2015
ciudad_lineal,186563,25701,212264.0,2015-01-01,1,2015
fuencarral,216414,16927,233341.0,2015-01-01,1,2015
hortaleza,159489,15151,174640.0,2015-01-01,1,2015
latina,203412,31427,234839.0,2015-01-01,1,2015
moncloa,104703,11577,116280.0,2015-01-01,1,2015
moratalaz,87734,7297,95031.0,2015-01-01,1,2015
puente_vallecas,194192,32552,226744.0,2015-01-01,1,2015
retiro,110303,7909,118212.0,2015-01-01,1,2015
salamanca,126776,16067,142843.0,2015-01-01,1,2015
san_blas,137697,15083,152780.0,2015-01-01,1,2015
tetuan,125910,25403,151313.0,2015-01-01,1,2015
usera,109217,23818,133035.0,2015-01-01,1,2015
vicalvaro,61665,7795,69460.0,2015-01-01,1,2015
villaverde,118046,22928,140974.0,2015-01-01,1,2015
villa_vallecas,88805,10897,99702.0,2015-01-01,1,2015
madrid,2767213,382450,3149663.0,2015-01-01,1,2015
