,distrito,Nacionales,Extranjeros,nacionales,extranjeros,total,mes
17,usera               ,109405.0,24221.0,109405,24221,133626.0,01/12/14
18,vicalvaro           ,61729.0,7965.0,61729,7965,69694.0,01/12/14
19,villaverde          ,118361.0,23410.0,118361,23410,141771.0,01/12/14
20,villa_vallecas,88826.0,11087.0,88826,11087,99913.0,01/12/14
21,madrid,2773753.0,390949.0,2773753,390949,3164702.0,01/12/14
0,arganzuela          ,135820.0,14647.0,135820,14647,150467.0,01/01/15
1,barajas             ,41768.0,4044.0,41768,4044,45812.0,01/01/15
2,carabanchel         ,202743.0,38110.0,202743,38110,240853.0,01/01/15
3,centro              ,103593.0,27975.0,103593,27975,131568.0,01/01/15
4,chamartin           ,129287.0,12451.0,129287,12451,141738.0,01/01/15
5,chamberi            ,123076.0,14691.0,123076,14691,137767.0,01/01/15
6,ciudad_lineal,186563.0,25701.0,186563,25701,212264.0,01/01/15
7,fuencarral,216414.0,16927.0,216414,16927,233341.0,01/01/15
8,hortaleza           ,159489.0,15151.0,159489,15151,174640.0,01/01/15
9,latina              ,203412.0,31427.0,203412,31427,234839.0,01/01/15
10,moncloa,104703.0,11577.0,104703,11577,116280.0,01/01/15
11,moratalaz           ,87734.0,7297.0,87734,7297,95031.0,01/01/15
12,puente_vallecas,194192.0,32552.0,194192,32552,226744.0,01/01/15
13,retiro              ,110303.0,7909.0,110303,7909,118212.0,01/01/15
14,salamanca           ,126776.0,16067.0,126776,16067,142843.0,01/01/15
15,san:blas,137697.0,15083.0,137697,15083,152780.0,01/01/15
16,tetuan              ,125910.0,25403.0,125910,25403,151313.0,01/01/15
17,usera               ,109217.0,23818.0,109217,23818,133035.0,01/01/15
18,vicalvaro           ,61665.0,7795.0,61665,7795,69460.0,01/01/15
19,villaverde          ,118046.0,22928.0,118046,22928,140974.0,01/01/15
20,villa_vallecas,88805.0,10897.0,88805,10897,99702.0,01/01/15
21,madrid,2767213.0,382450.0,2767213,382450,3149663.0,01/01/15
0,arganzuela,136198.0,14528.0,136198,14528,150726.0,01/02/15
1,barajas,41932.0,4018.0,41932,4018,45950.0,01/02/15
2,carabanchel,203383.0,37792.0,203383,37792,241175.0,01/02/15
3,centro,103843.0,27682.0,103843,27682,131525.0,01/02/15
4,chamartin,129791.0,12341.0,129791,12341,142132.0,01/02/15
5,chamberi,123275.0,14441.0,123275,14441,137716.0,01/02/15
6,ciudad lienal,186664.0,25535.0,186664,25535,212199.0,01/02/15
7,fuencarral,217032.0,16875.0,217032,16875,233907.0,01/02/15
8,hortaleza,160411.0,15142.0,160411,15142,175553.0,01/02/15
9,latina,203602.0,31242.0,203602,31242,234844.0,01/02/15
10,moncloa,104941.0,11456.0,104941,11456,116397.0,01/02/15
11,moratalaz,87733.0,7212.0,87733,7212,94945.0,01/02/15
12,puente_vallecas,194541.0,32379.0,194541,32379,226920.0,01/02/15
13,retiro,110521.0,7883.0,110521,7883,118404.0,01/02/15
14,salamanca,127014.0,15849.0,127014,15849,142863.0,01/02/15
15,san:blas,137991.0,15065.0,137991,15065,153056.0,01/02/15
16,tetuan,126239.0,25442.0,126239,25442,151681.0,01/02/15
17,usera,109572.0,23798.0,109572,23798,133370.0,01/02/15
18,vicalvaro,61779.0,7807.0,61779,7807,69586.0,01/02/15
19,villaverde,118445.0,22865.0,118445,22865,141310.0,01/02/15
20,villa_vallecas,89405.0,10846.0,89405,10846,100251.0,01/02/15
21,madrid,2774312.0,380198.0,2774312,380198,3154510.0,01/02/15
0,arganzuela,136339.0,14475.0,136339,14475,150814.0,01/03/15
1,barajas,42146.0,4018.0,42146,4018,46164.0,01/03/15
2,carabanchel,202776.0,37510.0,202776,37510,240286.0,01/03/15
3,centro,104256.0,27739.0,104256,27739,131995.0,01/03/15
4,chamartin,130061.0,12308.0,130061,12308,142369.0,01/03/15
5,chamberi,122870.0,14241.0,122870,14241,137111.0,01/03/15
6,ciudad_lineal,186351.0,25444.0,186351,25444,211795.0,01/03/15
7,fuencarral,217647.0,16862.0,217647,16862,234509.0,01/03/15
8,hortaleza,160314.0,15146.0,160314,15146,175460.0,01/03/15
9,latina,202781.0,31038.0,202781,31038,233819.0,01/03/15
10,moncloa,105229.0,11423.0,105229,11423,116652.0,01/03/15
11,moratalaz,86099.0,7021.0,86099,7021,93120.0,01/03/15
12,puente_vallecas,194298.0,32165.0,194298,32165,226463.0,01/03/15
13,retiro,110183.0,7759.0,110183,7759,117942.0,01/03/15
14,salamanca,127298.0,15798.0,127298,15798,143096.0,01/03/15
15,san:blas,137693.0,14890.0,137693,14890,152583.0,01/03/15
16,tetuan,126547.0,25468.0,126547,25468,152015.0,01/03/15
17,usera,108588.0,23563.0,108588,23563,132151.0,01/03/15
18,vicalvaro,62005.0,7795.0,62005,7795,69800.0,01/03/15
19,villaverde,118578.0,22726.0,118578,22726,141304.0,01/03/15
20,villa_vallecas,89872.0,10844.0,89872,10844,100716.0,01/03/15
21,madrid,2771931.0,378233.0,2771931,378233,3150164.0,01/03/15
0,arganzuela          ,136339.0,14475.0,136339,14475,150814.0,01/04/15
1,barajas             ,42146.0,4018.0,42146,4018,46164.0,01/04/15
2,carabanchel         ,203938.0,37766.0,203938,37766,241704.0,01/04/15
3,centro              ,104256.0,27739.0,104256,27739,131995.0,01/04/15
4,chamartin           ,130061.0,12308.0,130061,12308,142369.0,01/04/15
5,chamberi            ,123448.0,14314.0,123448,14314,137762.0,01/04/15
6,ciudad_lineal,186951.0,25517.0,186951,25517,212468.0,01/04/15
7,fuencarral,217647.0,16862.0,217647,16862,234509.0,01/04/15
8,hortaleza           ,160892.0,15170.0,160892,15170,176062.0,01/04/15
9,latina              ,203937.0,31210.0,203937,31210,235147.0,01/04/15
10,moncloa,105229.0,11423.0,105229,11423,116652.0,01/04/15
11,moratalaz           ,87833.0,7154.0,87833,7154,94987.0,01/04/15
12,puente_vallecas,194884.0,32378.0,194884,32378,227262.0,01/04/15
13,retiro              ,110774.0,7824.0,110774,7824,118598.0,01/04/15
14,salamanca           ,127298.0,15798.0,127298,15798,143096.0,01/04/15
15,san:blas,138279.0,14954.0,138279,14954,153233.0,01/04/15
16,tetuan              ,126547.0,25468.0,126547,25468,152015.0,01/04/15
17,usera               ,109782.0,23703.0,109782,23703,133485.0,01/04/15
18,vicalvaro           ,62005.0,7798.0,62005,7798,69803.0,01/04/15
19,villaverde          ,118578.0,22726.0,118578,22726,141304.0,01/04/15
20,villa_vallecas,89872.0,10844.0,89872,10844,100716.0,01/04/15
21,madrid,2780696.0,379449.0,2780696,379449,3160145.0,01/04/15
0,arganzuela          ,136330.0,14376.0,136330,14376,150706.0,01/05/15
1,barajas             ,42106.0,3970.0,42106,3970,46076.0,01/05/15
2,carabanchel         ,203812.0,37744.0,203812,37744,241556.0,01/05/15
3,centro              ,104159.0,27349.0,104159,27349,131508.0,01/05/15
4,chamartin           ,129938.0,12248.0,129938,12248,142186.0,01/05/15
5,chamberi            ,123167.0,14115.0,123167,14115,137282.0,01/05/15
6,ciudad_lineal,186769.0,25504.0,186769,25504,212273.0,01/05/15
7,fuencarral,217763.0,16739.0,217763,16739,234502.0,01/05/15
8,hortaleza           ,160856.0,15081.0,160856,15081,175937.0,01/05/15
9,latina              ,203719.0,31076.0,203719,31076,234795.0,01/05/15
10,moncloa,105129.0,11338.0,105129,11338,116467.0,01/05/15
11,moratalaz           ,87646.0,7122.0,87646,7122,94768.0,01/05/15
12,puente_vallecas,194591.0,32278.0,194591,32278,226869.0,01/05/15
13,retiro              ,110618.0,7753.0,110618,7753,118371.0,01/05/15
14,salamanca           ,127057.0,15747.0,127057,15747,142804.0,01/05/15
15,san:blas,138230.0,14835.0,138230,14835,153065.0,01/05/15
16,tetuan              ,126379.0,25371.0,126379,25371,151750.0,01/05/15
17,usera               ,109648.0,23687.0,109648,23687,133335.0,01/05/15
18,vicalvaro           ,61898.0,7732.0,61898,7732,69630.0,01/05/15
19,villaverde          ,118440.0,22702.0,118440,22702,141142.0,01/05/15
20,villa_vallecas,89972.0,10744.0,89972,10744,100716.0,01/05/15
21,madrid,2778227.0,377511.0,2778227,377511,3155738.0,01/05/15
0,arganzuela          ,136575.0,14486.0,136575,14486,151061.0,01/06/15
1,barajas             ,42182.0,3984.0,42182,3984,46166.0,01/06/15
2,carabanchel         ,204141.0,37891.0,204141,37891,242032.0,01/06/15
3,centro              ,104339.0,27466.0,104339,27466,131805.0,01/06/15
4,chamartin           ,130064.0,12270.0,130064,12270,142334.0,01/06/15
5,chamberi            ,123313.0,14141.0,123313,14141,137454.0,01/06/15
